                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    136,                0.04492,                   0.55,                      1,                 1.1814,             0.00033512,             0.00033512,             0.00033512
                    137,                0.02873,                0.56667,                      1,                 1.1511,              0.0003323,              0.0003323,              0.0003323
                    138,                0.01025,                0.69167,                      1,                 1.0699,             0.00032947,             0.00032947,             0.00032947
                    139,                0.04033,                0.69167,                      1,                 1.0552,             0.00032664,             0.00032664,             0.00032664
                    140,                0.03521,                    0.6,                      1,                 1.1331,             0.00032381,             0.00032381,             0.00032381
                    141,                 0.0641,                0.56667,                      1,                 1.1348,             0.00032099,             0.00032099,             0.00032099
                    142,                0.02197,                0.54167,                      1,                 1.1871,             0.00031816,             0.00031816,             0.00031816
                    143,                0.02853,                0.55833,                      1,                 1.1903,             0.00031533,             0.00031533,             0.00031533
                    144,                0.04159,                  0.525,                      1,                 1.1869,              0.0003125,              0.0003125,              0.0003125
                    145,                0.01611,                0.50833,                      1,                 1.2133,             0.00030968,             0.00030968,             0.00030968
                    146,                0.03027,                0.49167,                      1,                 1.2384,             0.00030685,             0.00030685,             0.00030685
                    147,                0.05003,                  0.525,                      1,                 1.1965,             0.00030402,             0.00030402,             0.00030402
                    148,                0.01741,                0.63333,                      1,                 1.1165,             0.00030119,             0.00030119,             0.00030119
                    149,                0.01574,                0.46667,                      1,                 1.2478,             0.00029837,             0.00029837,             0.00029837
                    150,                0.02302,                0.51667,                      1,                 1.2166,             0.00029554,             0.00029554,             0.00029554
                    151,                0.01906,                0.50833,                      1,                 1.2208,             0.00029271,             0.00029271,             0.00029271
                    152,                0.01785,                0.56667,                      1,                 1.1716,             0.00028988,             0.00028988,             0.00028988
                    153,                 0.0109,                0.53333,                      1,                 1.1618,             0.00028706,             0.00028706,             0.00028706
                    154,                0.02415,                0.58333,                      1,                 1.1697,             0.00028423,             0.00028423,             0.00028423
                    155,                0.03473,                0.54167,                      1,                 1.1848,              0.0002814,              0.0002814,              0.0002814
                    156,                0.01961,                0.56667,                      1,                  1.161,             0.00027857,             0.00027857,             0.00027857
                    157,                0.02818,                0.53333,                      1,                 1.1577,             0.00027575,             0.00027575,             0.00027575
                    158,                0.01698,                    0.5,                      1,                 1.2093,             0.00027292,             0.00027292,             0.00027292
                    159,                0.01943,                0.51667,                      1,                 1.2135,             0.00027009,             0.00027009,             0.00027009
                    160,                0.02874,                   0.55,                      1,                 1.1738,             0.00026726,             0.00026726,             0.00026726
                    161,                0.01339,                0.55833,                      1,                  1.178,             0.00026444,             0.00026444,             0.00026444
                    162,                0.01873,                0.59167,                      1,                 1.1544,             0.00026161,             0.00026161,             0.00026161
                    163,                  0.022,                  0.575,                      1,                 1.1466,             0.00025878,             0.00025878,             0.00025878
                    164,                0.01395,                   0.55,                      1,                 1.1529,             0.00025595,             0.00025595,             0.00025595
                    165,                0.03982,                  0.525,                      1,                 1.1744,             0.00025313,             0.00025313,             0.00025313
                    166,                0.03004,                0.55833,                      1,                 1.1597,              0.0002503,              0.0002503,              0.0002503
                    167,                0.01937,                0.54167,                      1,                 1.1901,             0.00024747,             0.00024747,             0.00024747
                    168,                0.04618,                0.56667,                      1,                 1.1801,             0.00024464,             0.00024464,             0.00024464
                    169,                0.01132,                    0.6,                      1,                 1.1302,             0.00024182,             0.00024182,             0.00024182
                    170,                0.03713,                0.61667,                      1,                 1.1312,             0.00023899,             0.00023899,             0.00023899
                    171,                0.02217,                  0.525,                      1,                 1.1815,             0.00023616,             0.00023616,             0.00023616
                    172,                0.01295,                    0.5,                      1,                 1.2227,             0.00023334,             0.00023334,             0.00023334
